%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1645173546303029560,0.030889925708713854,0.0017237743857520266,3.792379732774379e-08,0.6975088826741712,0.11711171193709363,0.1171438758876361,0.6971682134605738
1645173546371131625,0.031678240404453384,0.0021142426898398195,3.792379732774379e-08,0.6981849446676375,0.11310657986268668,0.11313645729015079,0.6978143210504075
1645173546447809164,0.0326038841920422,0.0023571408555125694,3.792379732773712e-08,0.6991824696013903,0.10687940474460664,0.10690759998595004,0.6987785286546642
1645173546514699491,0.03367601344908591,0.0024463322624035545,3.792379732773232e-08,0.7002842845292021,0.09951961426032076,0.09954797599871029,0.6998485319649207
1645173546599755307,0.03465514696199044,0.002629116602871802,3.79237973277289e-08,0.7011568665355541,0.09328877806445687,0.09331784413240005,0.7006911105214327
1645173546672507705,0.03565171452018224,0.0027806985167333938,3.7923797327728443e-08,0.7019675888309391,0.08708994262608764,0.08712102017209218,0.7014747137056546
1645173546769762697,0.03658314682516103,0.0030564929247015333,3.792379732772336e-08,0.7026115841436212,0.08184820100008439,0.08188118447003488,0.7020920918583392
1645173546829418089,0.03810006867177759,0.0018558852441516293,3.792379732772336e-08,0.7050129725368203,0.0634597502556229,0.0632723116203943,0.703509902726675
1645173546914235969,0.038828548967130116,0.0033338271028905183,3.792379732772336e-08,0.703958614078876,0.0716781240459524,0.07159833636701335,0.7029780895780966
1645173546992214692,0.039902288826517536,0.0035966009131397723,3.792379732772065e-08,0.7043539980106754,0.0677260635560678,0.06766103756059437,0.7033637819775724
1645173547070626509,0.04127449422191792,0.0025768450784760238,3.792379732772065e-08,0.7061784516839754,0.05218448013586934,0.051940156085028825,0.7041952815775097
1645173547134166532,0.04224878375746342,0.003801704061809307,3.793045449494929e-08,0.7052316554337968,0.057969088573307105,0.05789551963372625,0.7042272401366054
1645173547217263228,0.04344778335651278,0.00390405316117524,3.802781078148208e-08,0.7056005108382777,0.05324926040895359,0.05319536234883915,0.7046010848666284
1645173547302866758,0.044647562447017675,0.003962572233472559,3.8027810885592475e-08,0.7058678881370166,0.049523502334110604,0.04948684642045574,0.7048751657172372
1645173547389178839,0.04572661976689646,0.003954460037460061,3.8027810991008564e-08,0.7061431094350891,0.04534583215271874,0.04532635085432933,0.7051603976556997
1645173547461776163,0.04692591430619172,0.0039444425481521585,3.802781105390209e-08,0.7063654851443834,0.04162144532151744,0.04161776376092795,0.7053959302587594
1645173547520947481,0.04813391659003142,0.003913983474518356,3.802781108178404e-08,0.706552975956263,0.03814506771496233,0.03815624847650073,0.7056004157301511
1645173547598698640,0.0493296461479938,0.003780313575431977,3.802781108178404e-08,0.7067557789186886,0.03396322182735865,0.033989517948416724,0.7058239732382079
1645173547657755128,0.05043830621189528,0.003965288285904046,3.802781108178404e-08,0.706805996589512,0.0326826795541501,0.03271912412754094,0.705894173767277
1645173547734555378,0.05163514646968043,0.004079871258605475,3.802781108178404e-08,0.7068659169602562,0.0311077136140905,0.03115406543911386,0.7059761396819638
1645173547796852121,0.05270874359696885,0.004500293064802118,3.802781108178404e-08,0.7067939148587239,0.03245127297599747,0.03250318104436466,0.7059269225797429
1645173547865920192,0.05379090254589976,0.004832785474560652,3.802781108178404e-08,0.7067694048106183,0.032702444095801766,0.03276096393476037,0.7059279551171376
1645173547932859469,0.05493280844224389,0.005063370410141521,3.802781108178404e-08,0.7067706604682288,0.032376388987633876,0.032441803229955865,0.7059564663211227
1645173547990445935,0.05609082584775999,0.005311234146482919,3.802781108178404e-08,0.7067421647837252,0.03268792897782026,0.032759002443127565,0.7059559898286002
1645173548051061417,0.0572764020769128,0.005568822230675545,3.802781108178404e-08,0.7067016922969099,0.03324117512976934,0.033317268564387305,0.7059445459779945
1645173548137303109,0.058367455968150496,0.005797126327101586,3.802781108178404e-08,0.7066447988606632,0.03411873858169834,0.03419915153395322,0.7059174583158551
